Data,Tag,Pos,Canzone,Artista
2026-09-26,NEW✨,1,BbY WOW,Karol GWith Judeline & rusowsky
2026-09-26,NEW✨,2,Training Season,Dua Lipa
2026-09-26,NEW✨,3,Dai Dai (FIFA World Cup Official Song 2026),ShakiraXBurna Boy
2026-09-26,NEW✨,4,Beauty And A Beat,Justin BieberFeaturingNicki Minaj
2026-09-26,NEW✨,5,Swim,BTS
2026-09-26,NEW✨,6,Ain't In LA,ADELA
2026-09-26,NEW✨,7,Hate That I Made You Love Me,Ariana Grande
2026-09-26,NEW✨,8,Ordinary,Alex Warren
2026-09-26,NEW✨,9,Loser,Tame Impala
2026-09-26,NEW✨,10,Love Me Not,Ravyn Lenae
2026-09-26,NEW✨,11,Self Aware,Temper City
2026-09-26,NEW✨,12,Dracula,Tame Impala&JENNIE
2026-09-26,NEW✨,13,Wonderwall,Oasis
2026-09-26,NEW✨,14,Billie Jean,Michael Jackson
2026-09-26,NEW✨,15,Die With A Smile,Lady Gaga&Bruno Mars
2026-09-26,NEW✨,16,Movin' To The Sun,"HUGEL, Imael Angel & Ultra Nate"
2026-09-26,NEW✨,17,Iris,Goo Goo Dolls
2026-09-26,NEW✨,18,Man I Need,Olivia Dean
2026-09-26,NEW✨,19,The One That Got Away,Katy Perry
2026-09-26,NEW✨,20,The Cure,Olivia Rodrigo
2026-09-26,NEW✨,21,Earrings,Malcolm Todd
2026-09-26,NEW✨,22,Jamaican (Bam Bam),HUGEL& SOLTO
2026-09-26,NEW✨,23,The Fate Of Ophelia,Taylor Swift
2026-09-26,NEW✨,24,Back To Friends,sombr
2026-09-26,NEW✨,25,Stupid Song,Olivia Rodrigo
2026-09-26,NEW✨,26,Nicole Kidman,ADELA
2026-09-26,NEW✨,27,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
2026-09-26,NEW✨,28,Every Breath You Take,The Police
2026-09-26,NEW✨,29,End Of Beginning,Djo
2026-09-26,NEW✨,30,Babydoll,Dominic Fike
2026-09-26,NEW✨,31,Where Is My Husband!,RAYE
2026-09-26,NEW✨,32,Great Expectation,Sienna Spiro
2026-09-26,NEW✨,33,Sweater Weather,The Neighbourhood
2026-09-26,NEW✨,34,Animal,KATSEYE
2026-09-26,NEW✨,35,SaWaDiKa,LISA
2026-09-26,NEW✨,36,Beat It,Michael Jackson
2026-09-26,NEW✨,37,Sign Of The Times,Harry Styles
2026-09-26,NEW✨,38,Treat You Better,Shawn Mendes
2026-09-26,NEW✨,39,Choosin' Texas,Ella Langley
2026-09-26,NEW✨,40,Locked Out Of Heaven,Bruno Mars
2026-09-26,NEW✨,41,Creep,Radiohead
2026-09-26,NEW✨,42,Beautiful Things,Benson Boone
2026-09-26,NEW✨,43,So Easy (To Fall In Love),Olivia Dean
2026-09-26,NEW✨,44,Superestrella,Aitana
2026-09-26,NEW✨,45,Mr. Brightside,The Killers
2026-09-26,NEW✨,46,Save Your Tears,The Weeknd& Ariana Grande
2026-09-26,NEW✨,47,Drop Dead,Olivia Rodrigo
2026-09-26,NEW✨,48,DTMF,Bad Bunny
2026-09-26,NEW✨,49,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone&Swae Lee
2026-09-26,NEW✨,50,Rein Me In,Sam Fender&Olivia Dean
2026-09-26,NEW✨,51,Raindance,Dave&Tems
2026-09-26,NEW✨,52,Birds Of A Feather,Billie Eilish
2026-09-26,NEW✨,53,Yellow,Coldplay
2026-09-26,NEW✨,54,Shape Of You,Ed Sheeran
2026-09-26,NEW✨,55,APT.,ROSE &Bruno Mars
2026-09-26,NEW✨,56,Risk It All,Bruno Mars
2026-09-26,NEW✨,57,On The Floor,Jennifer LopezFeaturingPitbull
2026-09-26,NEW✨,58,Riptide,Vance Joy
2026-09-26,NEW✨,59,Normal,BTS
2026-09-26,NEW✨,60,Midnight Sun,Zara Larsson
2026-09-26,NEW✨,61,De Lejitos,Jay Wheeler
2026-09-26,NEW✨,62,In The End,Linkin Park
2026-09-26,NEW✨,63,Baile Inolvidable,Bad Bunny
2026-09-26,NEW✨,64,The Night We Met,Lord Huron
2026-09-26,NEW✨,65,Sailor Song,Gigi Perez
2026-09-26,NEW✨,66,Viva La Vida,Coldplay
2026-09-26,NEW✨,67,Starboy,The WeekndFeaturingDaft Punk
2026-09-26,NEW✨,68,Te Estoy Correteando,LATIN MAFIA & Fred again..
2026-09-26,NEW✨,69,Cinderella,Mac MillerFeaturingTy Dolla $ign
2026-09-26,NEW✨,70,Pile,Mauvais djo
2026-09-26,NEW✨,71,It's Me,ILLIT
2026-09-26,NEW✨,72,Lush Life,Zara Larsson
2026-09-26,NEW✨,73,Die For You,The Weeknd&Ariana Grande
2026-09-26,NEW✨,74,Talk To You,ANOTR Featuring 54 Ultra
2026-09-26,NEW✨,75,Take On Me,a-ha
2026-09-26,NEW✨,76,Blinding Lights,The Weeknd
2026-09-26,NEW✨,77,No Scrubs,TLC
2026-09-26,NEW✨,78,Purple Rain,PrinceAnd The Revolution
2026-09-26,NEW✨,79,As It Was,Harry Styles
2026-09-26,NEW✨,80,Can't Hold Us,Macklemore & Ryan Lewis FeaturingRay Dalton
2026-09-26,NEW✨,81,Sure Thing,Miguel
2026-09-26,NEW✨,82,Boston,Stella Lefty
2026-09-26,NEW✨,83,Oh Yeah?,Steve Lacy
2026-09-26,NEW✨,84,Smells Like Teen Spirit,Nirvana
2026-09-26,NEW✨,85,Everybody Wants To Rule The World,Tears for Fears
2026-09-26,NEW✨,86,EOO,Bad Bunny
2026-09-26,NEW✨,87,Stayin' Alive,Bee Gees
2026-09-26,NEW✨,88,Nuevayol,Bad Bunny
2026-09-26,NEW✨,89,Hootie Frutti,KATSEYE
2026-09-26,NEW✨,90,One Of The Girls,"The Weeknd,JENNIE& Lily-Rose Depp"
2026-09-26,NEW✨,91,Don't Stop Believin',Journey
2026-09-26,NEW✨,92,Payphone,Maroon 5FeaturingWiz Khalifa
2026-09-26,NEW✨,93,Die On This Hill,Sienna Spiro
2026-09-26,NEW✨,94,REDRED,CORTIS
2026-09-26,NEW✨,95,Talking Body,Tove Lo
2026-09-26,NEW✨,96,Bring Me To Life,EvanescenceFeaturing Paul McCoy
2026-09-26,NEW✨,97,BAD,ATEEZ
2026-09-26,NEW✨,98,Dreams,Fleetwood Mac
2026-09-26,NEW✨,99,One Dance,DrakeFeaturingWizkid&Kyla
2026-09-26,NEW✨,100,Another Love,Tom Odell
2026-09-26,NEW✨,101,Just The Way You Are,Bruno Mars
2026-09-26,NEW✨,102,Empire State Of Mind,Jay-Z+Alicia Keys
2026-09-26,NEW✨,103,Janice STFU,Drake
2026-09-26,NEW✨,104,I Just Might,Bruno Mars
2026-09-26,NEW✨,105,Stateside,PinkPantheressWithZara Larsson
2026-09-26,NEW✨,106,Homewrecker,sombr
2026-09-26,NEW✨,107,Danza Kuduro,Don Omar& Lucenzo
2026-09-26,NEW✨,108,Saddle Up,WINTER
2026-09-26,NEW✨,109,Espresso,Sabrina Carpenter
2026-09-26,NEW✨,110,Just Give Me A Reason,P!nk Featuring Nate Ruess
2026-09-26,NEW✨,111,Sweet Child O' Mine,Guns N' Roses
2026-09-26,NEW✨,112,Lose Control,Teddy Swims
2026-09-26,NEW✨,113,Daisies,Justin Bieber
2026-09-26,NEW✨,114,Bloodstream,Alyssa Grace
2026-09-26,NEW✨,115,Numb,Linkin Park
2026-09-26,NEW✨,116,Perfect,Ed Sheeran
2026-09-26,NEW✨,117,Levitating,Dua Lipa
2026-09-26,NEW✨,118,Wildflower,Billie Eilish
2026-09-26,NEW✨,119,Si Antes Te Hubiera Conocido,Karol G
2026-09-26,NEW✨,120,Dichavate,Ya Ice Dilan X Rey Tony X Helabusador
2026-09-26,NEW✨,121,Umbrella,RihannaFeaturingJay-Z
2026-09-26,NEW✨,122,Stop The Wedding!,Ashe
2026-09-26,NEW✨,123,12 To 12,sombr
2026-09-26,NEW✨,124,Do I Wanna Know?,Arctic Monkeys
2026-09-26,NEW✨,125,There's Nothing Holdin' Me Back,Shawn Mendes
2026-09-26,NEW✨,126,No One Noticed,The Marias
2026-09-26,NEW✨,127,RIKI,Neton Vega
2026-09-26,NEW✨,128,I Wanna Be Yours,Arctic Monkeys
2026-09-26,NEW✨,129,We Found Love,RihannaFeaturingCalvin Harris
2026-09-26,NEW✨,130,Manchild,Sabrina Carpenter
2026-09-26,NEW✨,131,Don't Stop The Music,Rihanna
2026-09-26,NEW✨,132,We Are The People,Empire of the Sun
2026-09-26,NEW✨,133,Tiroteo,Marc Segui & Pol Granch &Rauw Alejandro
2026-09-26,NEW✨,134,Africa,Toto
2026-09-26,NEW✨,135,Me Rehuso,Danny Ocean
2026-09-26,NEW✨,136,Counting Stars,OneRepublic
2026-09-26,NEW✨,137,Bass Persuades,Miley
